Geneid	Length
YIL057C	1179
tS(UGA)I	82
YIL056W	2344
YIL055C	2480
YIL053W	1016
YIL052C	640
YIL051C	744
YIL050W	1144
YIL049W	832
YIL048W	3792
YIL047C	2840
YIL046W-A	568
YIL046W	2136
YIL045W	1960
YIL044C	1112
YIL043C	992
YIL042C	1272
YIL041W	1128
YIL040W	464
YIL039W	1632
YIL038C	2808
YIL037C	1971
YIL036W	2048
YIL035C	1640
YIL034C	952
YIL033C	1616
YIL031W	3304
YIL030C	4176
tK(CUU)I	73
YIL029C	704
YIL027C	656
YIL026C	3504
YIL024C	570
YIL023C	1392
YIL022W	1712
YIL021W	1232
YIL020C	869
YIL019W	1152
YIL018W	1056
YIL017C	2832
YIL016W	664
YIL015W	1870
tD(GUC)I1	72
YIL014C-A	432
tT(AGU)I2	73
YIL014W	2104
YIL013C	4299
YIL011W	1192
YIL010W	856
YIL009C-A	727
tD(GUC)I2	72
YIL009W	2344
YIL008W	496
YIL007C	1008
YIL006W	1352
YIL005W	2440
YIL004C	565
YIL003W	1016
YIL002W-A	392
YIL002C	3176
YIL001W	1736
YIR001C	1112
YIR002C	3152
YIR003W	2144
YIR004W	1360
YIR005W	648
YIR006C	4624
tE(UUC)I	72
YIR007W	2400
YIR008C	1320
YIR009W	760
YIR010W	2072
YIR011C	986
YIR012W	1432
YIR013C	366
YIR014W	864
YIR015W	435
YIR016W	798
YIR017C	872
YIR018W	1280
YIR018C-A	949
YIR019C	7528
ICR1	3199
PWR1	941
YIR021W	1165
YIR021W-A	213
YIR022W	504
YIR023W	3016
YIR024C	752
YIR025W	1144
YIR026C	1240
YIR027C	1458
YIR028W	2033
YIR029W	1168
YIR030C	928
YIR031C	1888
YIR032C	640
YIR033W	3512
YIR034C	1368
YIR035C	936
YIR036C	1088
YIR037W	760
YIR038C	872
YIR039C	2008
YIR041W	375
YIR042C	1343
tP(UGG)Q	72
Q0010	387
Q0017	162
15S_rRNA	1649
tW(UCA)Q	74
Q0032	291
Q0065	1671
Q0050	2505
Q0045	1605
Q0070	1893
Q0055	2565
Q0060	1248
Q0075	1065
Q0080	147
Q0085	780
Q0092	141
tE(UUC)Q	72
Q0115	1554
Q0120	1917
Q0105	1158
Q0110	1272
Q0130	231
tS(UGA)Q2	90
Q0140	1197
Q0142	177
Q0143	153
Q0144	330
21S_rRNA	3296
Q0160	708
tT(UGU)Q1	76
tC(GCA)Q	76
tH(GUG)Q	75
Q0182	405
tL(UAA)Q	85
tQ(UUG)Q	76
tK(UUU)Q	74
tR(UCU)Q1	73
tG(UCC)Q	75
tD(GUC)Q	75
tS(GCU)Q1	86
tR(ACG)Q2	74
tA(UGC)Q	76
tI(GAU)Q	76
tY(GUA)Q	84
tN(GUU)Q	71
tM(CAU)Q1	76
Q0250	756
Q0255	1419
tF(GAA)Q	75
tT(XXX)Q2	74
tV(UAC)Q	76
Q0275	810
tM(CAU)Q2	78
RPM1	483
Q0297	156
YEL077C	3834
YEL076C-A	651
YEL076C	651
YEL075C	369
YEL073C	632
YEL072W	1104
YEL071W	1688
YEL070W	1509
YEL069C	1695
YEL067C	944
YEL066W	1488
YEL065W	1976
YEL064C	1784
YEL063C	2264
YEL062W	1944
YEL061C	3344
YEL060C	2136
YEL059C-A	302
YEL058W	1776
YEL057C	952
YEL056W	1432
YEL055C	3320
snR80	171
YEL054C	808
YEL053C	2368
YEL052W	1568
YEL051W	976
YEL050C	1424
snR67	82
snR53	91
tG(GCC)E	71
YEL049W	363
YEL048C	992
YEL047C	1432
YEL046C	1824
YEL044W	1336
YEL043W	3008
YEL042W	1888
YEL041W	1920
YEL040W	1552
YEL039C	552
YEL038W	792
YEL037C	1583
YEL036C	1808
YEL035C	501
YEL034W	588
YEL033W	420
tS(AGA)E	82
YEL032W	3152
YEL031W	3784
YEL030W	2369
YEL029C	1248
tM(CAU)E	72
YEL027W	816
YEL026W	608
YEL025C	3744
YEL024W	1264
YEL023C	2688
YEL022W	4536
YEL021W	928
YEL020W-A	432
RPR1	369
YEL020C	1683
YEL019C	944
YEL018W	936
YEL017C-A	712
YEL017W	1528
YEL016C	1760
YEL015W	1824
YEL013W	2360
tQ(UUG)E2	72
YEL012W	893
YEL011W	2224
tK(CUU)E1	73
tR(UCU)E	72
YEL009C	1536
YEL007W	2536
YEL006W	1400
YEL005C	1008
YEL004W	1216
YEL003W	496
YEL002C	1536
YEL001C	808
YER001W	2560
YER002W	824
YER003C	1322
YER004W	1152
YER005W	2016
YER006W	1704
YER007W	1585
YER007C-A	857
snR14	160
YER008C	4152
YER009W	600
YER010C	840
YER011W	904
tE(UUC)E1	72
YER012W	816
YER013W	3460
YER014W	1752
YER014C-A	462
YER015W	2488
YER016W	1104
YER017C	2504
YER018C	768
YER019W	1544
YER019C-A	397
YER020W	1488
YER021W	1696
YER022W	2128
YER023W	1048
YER024W	2864
YER025W	1896
tH(GUG)E1	72
YER026C	1040
YER027C	1600
YER028C	1296
YER029C	744
YER030W	656
YER031C	856
YER032W	2896
YER033C	3504
YER034W	558
YER035W	438
YER036C	1976
YER037W	1232
YER038C	2464
YER039C	750
YER039C-A	219
YER040W	2504
YER041W	2456
YER042W	696
YER043C	1648
YER044C	672
YER044C-A	1424
YER045C	1832
YER046W	1192
YER047C	2893
YER048C	1400
tQ(UUG)E1	72
YER048W-A	696
YER049W	2040
YER050C	576
YER051W	1656
YER052C	1880
YER053C	1227
YER053C-A	666
YER054C	2120
YER055C	1144
YER056C	1848
YER056C-A	531
YER057C	544
YER058W	480
YER059W	1536
YER060W	2040
YER060W-A	1593
YER061C	1366
YER062C	984
YER063W	912
YER064C	1792
YER065C	2016
tS(UGA)E	82
YER066W	1608
YER067W	864
YER068W	1944
YER069W	2792
YER070W	3240
YER071C	640
YER072W	632
YER073W	2274
YER074W	574
YER074W-A	363
YER075C	3000
tA(UGC)E	73
YER076C	1392
YER077C	2103
YER078C	1792
YER078W-A	165
YER079W	872
YER080W	1952
SRG1	551
YER081W	1984
YER082C	1800
YER083C	936
YER085C	522
YER086W	1944
YER087W	1920
YER087C-B	512
YER088C	2248
YER089C	2328
YER090W	1728
YER091C	2584
YER092W	664
YER093C	4400
YER093C-A	501
YER094C	880
YER095W	1464
YER096W	1655
tE(UUC)E2	72
YER098W	2752
YER099C	1264
YER100W	1112
YER101C	1456
YER102W	1144
YER103W	2032
YER104W	1024
YER105C	4544
YER106W	909
YER107C	1320
YER109C	2912
YER110C	3688
YER111C	3680
YER112W	646
YER113C	2304
YER114C	3736
YER115C	576
YER116C	825
YER117W	681
YER118C	1488
YER119C	1472
YER120W	944
YER121W	640
YER122C	1555
YER123W	2152
YER124C	2320
YER125W	3336
YER126C	1328
YER127W	1168
YER128W	776
YER129W	4216
YER130C	1624
YER131W	864
snR4	186
YER132C	5864
snR52	92
YER133W	1331
tH(GUG)E2	72
tK(CUU)E2	73
YER134C	860
tV(AAC)E1	74
YER136W	1736
YER137C	480
SCR1	522
tI(AAU)E1	74
YER138W-A	105
YER139C	1625
YER140W	1776
YER141W	1720
YER142C	976
YER143W	1528
YER144C	2536
YER145C	1408
YER146W	401
YER147C	1931
YER148W	1024
YER149C	1331
YER150W	608
tV(AAC)E2	74
YER151C	2920
YER152C	1332
YER153C	1362
YER154W	1288
YER155C	6872
YER156C	1152
YER157W	2760
tE(UUC)E3	72
YER158C	2016
YER159C	768
tR(ACG)E	73
YER161C	1296
YER162C	2368
YER163C	808
YER164W	4800
YER165W	2040
YER166W	5192
YER167W	2968
YER168C	1720
YER169W	2784
YER170W	984
YER171W	2536
YER172C	6640
YER173W	2056
YER174C	976
YER175C	1072
YER175W-A	325
YER176W	3704
YER177W	1032
YER178W	1424
YER179W	1005
YER180C	804
YER180C-A	258
tI(AAU)E2	74
YER182W	856
YER183C	704
YER184C	3192
YER185W	1040
YER186C	1304
YER187W	1104
YER188C-A	300
YER189W	369
YER190W	5046
YER190C-B	483
YFL068W	483
YFL067W	528
YFL066C	1179
YFL065C	309
YFL064C	525
YFL062W	1140
YFL061W	678
YFL060C	669
YFL059W	897
YFL058W	1023
YFL057C	459
YFL056C	1704
YFL055W	3240
YFL054C	2113
YFL053W	1776
YFL052W	4360
YFL051C	483
YFL050C	3544
YFL049W	1968
YFL048C	1408
YFL047W	2189
YFL046W	808
YFL045C	1008
YFL044C	1112
YFL042C	2128
YFL041W-A	1088
YFL041W	2056
YFL040W	1623
YFL039C	1516
YFL038C	776
YFL037W	1672
RUF21	707
YFL036W	4296
YFL034C-B	1094
YFL034C-A	495
YFL034W	3528
YFL033C	5720
YFL031W	1108
YFL030W	1272
YFL029C	1145
YFL028C	952
YFL027C	1576
YFL026W	1872
YFL025C	3296
YFL024C	3192
YFL023W	2488
YFL022C	1648
YFL021W	1865
YFL020C	369
tP(UGG)F	72
YFL018C	1640
YFL017W-A	320
YFL017C	664
YFL016C	1696
YFL014W	536
YFL013C	2112
YFL012W	447
YFL011W	1641
YFL010C	824
YFL010W-A	285
YFL009W	2576
YFL008W	3856
YFL007W	6640
YFL005W	1056
RUF20	443
YFL004W	2832
YFL003C	2637
tN(GUU)F	74
YFL002C	1992
YFL001W	1384
YFR001W	832
YFR002W	2608
YFR003C	664
YFR004W	1008
YFR005C	1552
YFR006W	1680
tF(GAA)F	73
YFR007W	1144
YFR008W	1040
tG(GCC)F1	71
YFR009W	2417
YFR010W	1656
YFR011C	568
tY(GUA)F1	75
YFR012W	609
YFR012W-A	87
YFR013W	2536
YFR014C	1512
YFR015C	2336
YFR016C	3824
tG(GCC)F2	71
YFR017C	768
YFR018C	1256
YFR019W	6904
tS(GCU)F	82
YFR021W	1689
YFR022W	2584
RUF22	515
YFR023W	1836
YFR024C-A	1642
YFR025C	1112
tA(AGC)F	73
YFR026C	1584
YFR027W	944
YFR028C	1693
tY(GUA)F2	75
YFR029W	2104
YFR030W	3264
YFR031C	3608
YFR031C-A	949
RUF23	254
YFR032C	870
YFR032C-A	180
YFR032C-B	264
YFR033C	688
YFR034C	1112
YFR035C	472
tK(CUU)F	73
YFR036W	456
YFR037C	1867
YFR038W	2568
YFR039C	1664
YFR040W	3392
YFR041C	1072
YFR042W	720
YFR043C	864
YFR044C	1512
YFR045W	1008
YFR046C	1336
YFR047C	944
YFR048W	2064
YFR049W	648
YFR050C	1040
YFR051C	1744
YFR052W	1016
YFR053C	1704
YFR055W	1544
YFR057W	456
YGL263W	1184
YGL262W	528
YGL261C	363
YGL260W	231
YGL259W	516
YGL258W-A	400
YGL258W	621
YGL257C	1881
YGL256W	1816
YGL255W	3232
YGL254W	1594
YGL253W	1704
YGL252C	1952
YGL251C	3663
YGL250W	976
YGL249W	2240
YGL248W	1344
YGL247W	672
YGL246C	1312
YGL245W	2208
YGL244W	1744
YGL243W	1320
YGL242C	808
YGL241W	3072
YGL240W	952
YGL238W	2992
YGL237C	1056
YGL236C	2081
YGL235W	537
YGL234W	2600
YGL233W	2800
YGL232W	926
YGL231C	600
YGL230C	611
YGL229C	2736
YGL228W	1880
YGL227W	3016
YGL226C-A	436
YGL226W	488
tV(AAC)G3	74
YGL225W	1232
YGL224C	1056
YGL223C	1304
YGL222C	592
YGL221C	976
YGL220W	534
YGL219C	1504
YGL216W	2720
YGL215W	2346
YGL213C	1361
YGL212W	1000
YGL211W	1280
YGL210W	784
YGL209W	1288
YGL208W	1368
YGL207W	3432
YGL206C	5336
YGL205W	2616
tH(GUG)G1	72
YGL203C	2320
tK(UUU)G1	73
YGL202W	1752
YGL201C	3408
tK(CUU)G1	73
YGL200C	752
YGL198W	784
YGL197W	5368
YGL196W	1415
YGL195W	8120
YGL194C-A	640
YGL194C	1426
YGL193C	2574
YGL192W	1968
YGL191W	736
YGL190C	2320
YGL189C	427
YGL188C-A	141
YGL187C	498
YGL186C	1856
YGL185C	1232
YGL184C	1835
YGL183C	660
YGL181W	1344
YGL180W	3488
YGL179C	1722
YGL178W	3094
YGL176C	1864
YGL175C	1152
YGL174W	820
YGL173C	5112
YGL172W	1536
YGL171W	1800
YGL170C	1242
tK(CUU)G2	73
YGL169W	1281
YGL168W	333
YGL167C	3424
YGL166W	800
YGL164C	1376
YGL163C	2976
YGL162W	1096
YGL161C	1168
YGL160W	1928
YGL159W	1320
tL(CAA)G1	82
YGL158W	2008
YGL157W	1216
YGL156W	3464
YGL155W	1656
YGL154C	845
YGL153W	1072
YGL151W	3528
YGL150C	4872
YGL148W	1296
YGL147C	744
YGL146C	1072
YGL145W	2264
YGL144C	2200
YGL143C	1368
YGL142C	2032
YGL141W	2872
YGL140C	4080
YGL139W	3040
YGL138C	1038
YGL137W	2872
YGL136C	1144
YGL135W	872
YGL134W	1480
YGL133W	3991
YGL131C	5640
YGL130W	1576
YGL129C	1559
YGL128C	852
YGL127C	544
YGL126W	1344
YGL125W	2296
YGL124C	1968
YGL123W	984
YGL122C	1720
YGL121C	504
YGL120C	2488
YGL119W	1560
tW(CCA)G1	72
YGL117W	976
YGL116W	2040
YGL115W	1144
YGL114W	2448
YGL113W	2296
YGL112C	1720
YGL111W	1592
YGL110C	2088
YGL108C	520
YGL107C	2008
YGL106W	632
YGL105W	1304
YGL104C	1544
YGL103W	585
YGL101W	912
YGL100W	1176
YGL099W	1969
snR82	268
YGL098W	1360
tH(GUG)G2	72
YGL097W	1616
YGL096W	1008
tE(UUC)G1	72
YGL095C	1904
YGL094C	3608
YGL093W	2880
YGL092W	4104
YGL091C	1176
YGL090W	1984
YGL089C	363
snR10	245
YGL087C	547
YGL086W	2322
YGL085W	1000
YGL084C	1928
YGL083W	2584
YGL082W	1368
YGL081W	1128
YGL080W	688
YGL079W	800
YGL078C	1864
YGL077C	1912
YGL076C	953
snR39	89
snR39B	96
YGL075C	1720
YGL073W	2784
YGL071W	2696
YGL070C	728
YGL068W	808
YGL067W	1280
YGL066W	2400
YGL065C	1608
YGL064C	1744
YGL063W	1744
YGL062W	3656
YGL061C	912
YGL060W	2142
YGL059W	1608
YGL058W	904
YGL057C	904
YGL056C	1728
YGL055W	1880
YGL054C	800
tE(UUC)G2	72
YGL053W	714
YGL051W	705
tR(UCU)G1	72
YGL050W	960
YGL049C	3080
YGL048C	1352
YGL047W	704
tV(AAC)G1	74
YGL045W	1896
YGL044C	1240
YGL043W	1191
YGL041C-B	183
YGL041W-A	687
YGL040C	1336
tL(CAA)G2	82
YGL039W	1256
YGL038C	1824
YGL037C	872
YGL036W	2816
YGL035C	1672
YGL033W	657
YGL032C	432
YGL031C	992
YGL030W	490
YGL029W	552
tF(GAA)G	73
YGL028C	2414
YGL027C	2608
YGL026C	2232
YGL025C	1288
YGL023C	1992
YGL022W	2392
YGL021W	2326
YGL020C	864
YGL019W	1016
YGL018C	728
YGL017W	1656
YGL016W	3448
YGL015C	393
YGL014W	3112
YGL013C	3360
YGL012W	1552
YGL011C	920
YGL010W	728
YGL009C	2576
YGL008C	3520
YGL007C-A	87
YGL006W-A	111
YGL006W	3522
YGL005C	1072
YGL004C	1277
YGL003C	2032
YGL002W	904
YGL001C	1344
YGR001C	861
YGR002C	1680
YGR003W	2496
YGR004W	1680
YGR005C	1280
YGR006W	888
YGR007W	1120
YGR008C	504
YGR009C	2120
YGR010W	1648
YGR012W	1232
YGR013W	2072
YGR014W	4288
YGR015C	1192
YGR016W	1368
YGR017W	1128
YGR019W	1480
YGR020C	568
YGR021W	1000
YGR023W	2136
tD(GUC)G1	72
YGR024C	753
YGR026W	1000
YGR027C	912
tE(UUC)G3	72
YGR028W	1336
YGR029W	645
tD(GUC)G2	72
snR46	197
YGR030C	544
YGR031W	1568
YGR031C-A	492
YGR032W	6072
YGR033C	1024
YGR034W	587
YGR035C	536
YGR035W-A	222
YGR036C	1440
YGR037C	616
YGR038W	1008
tS(AGA)G	82
YGR040W	1482
YGR041W	2040
YGR042W	936
YGR043C	1169
YGR044C	1264
YGR046W	1608
YGR047C	3108
YGR048W	1200
YGR049W	872
YGR052W	1328
YGR053C	976
YGR054W	2248
YGR055W	1864
YGR056W	2864
YGR057C	1016
YGR058W	1184
YGR059W	1573
snR48	113
YGR060W	1304
YGR061C	4256
YGR062C	1064
YGR063C	360
YGR065C	1936
YGR066C	879
YGR067C	2480
YGR068C	2136
YGR070W	3640
YGR071C	2728
YGR072W	1232
YGR074W	712
YGR075C	769
YGR076C	568
YGR077C	1888
YGR078C	696
YGR079W	1176
YGR080W	1096
YGR081C	824
YGR082W	720
YGR083C	2056
YGR084C	1099
YGR085C	736
YGR086C	1472
YGR087C	1692
YGR088W	1792
YGR089W	3128
tT(UGU)G1	72
YGR090W	4056
YGR091W	1664
YGR092W	1944
YGR093W	1600
YGR094W	3416
YGR095C	848
YGR096W	1040
YGR097W	3744
YGR098C	5240
YGR099W	2144
YGR100W	3016
YGR101W	1176
YGR102C	728
YGR103W	2016
YGR104C	1008
YGR105W	416
YGR106C	952
tL(GAG)G	82
tK(UUU)G2	73
YGR108W	1776
YGR109C	1248
tC(GCA)G	72
YGR110W	1424
YGR111W	1344
YGR112W	1424
YGR113W	1384
YGR116W	4608
YGR117C	1680
YGR118W	760
YGR119C	1832
YGR120C	992
tN(GUU)G	74
YGR121C	1632
YGR121W-A	384
YGR122W	1704
tR(UCU)G3	72
YGR123C	1696
tI(AAU)G	74
YGR124W	1984
YGR125W	3328
YGR126W	864
YGR127W	1312
YGR128C	2288
YGR129W	1000
YGR130C	2744
YGR131W	1092
YGR132C	1208
YGR133W	687
YGR134W	3744
YGR135W	936
YGR136W	726
YGR138C	2192
YGR140W	2914
YGR141W	1512
YGR142W	1368
tA(AGC)G	73
YGR143W	3088
tG(UCC)G	72
YGR144W	1232
YGR145W	2240
YGR146C	1168
YGR146C-A	162
YGR147C	1056
YGR148C	1040
YGR149W	1872
YGR150C	2672
tA(UGC)G	73
YGR152C	977
YGR153W	688
YGR154C	1528
YGR155W	1712
YGR156W	1464
YGR157W	2952
YGR158C	1032
YGR159C	1504
YGR161C	944
YGR161W-C	736
tV(AAC)G2	74
YGR162W	3336
YGR163W	1152
tR(UCU)G2	72
YGR165W	1216
YGR166W	1800
YGR167W	968
YGR168C	1216
YGR169C	1288
YGR169C-A	712
YGR170W	3560
YGR171C	1816
YGR172C	984
YGR173W	1312
tG(GCC)G1	71
YGR174C	651
YGR174W-A	224
YGR175C	1728
YGR177C	1872
YGR178C	2520
YGR179C	1376
YGR180C	1296
tL(CAA)G3	82
YGR181W	520
YGR183C	643
YGR184C	6256
YGR185C	1336
YGR186W	2344
YGR187C	1440
YGR188C	3120
tK(CUU)G3	73
YGR189C	1848
tW(CCA)G2	72
YGR191W	2392
YGR192C	1128
YGR193C	1384
YGR194C	1905
YGR195W	928
YGR196C	2600
YGR197C	1872
YGR198W	2608
YGR199W	2640
YGR200C	2504
YGR201C	728
YGR202C	1440
YGR203W	688
YGR204W	2992
YGR204C-A	114
YGR205W	1120
YGR206W	360
YGR207C	936
YGR208W	1088
YGR209C	440
YGR210C	1432
YGR211W	1744
YGR212W	2504
YGR213C	954
YGR214W	881
YGR215W	488
YGR216C	2018
YGR217W	6184
tG(GCC)G2	71
YGR218W	3760
YGR220C	888
YGR221C	1984
snR7-L	214
snR7-S	179
YGR222W	1152
YGR223C	1440
YGR224W	1842
YGR225W	1940
YGR227W	1888
YGR229C	2040
YGR230W	672
YGR231C	1231
YGR232W	728
YGR233C	3800
YGR234W	1544
YGR235C	872
YGR236C	830
YGR237C	2520
YGR238C	2767
YGR239C	1024
YGR240C	3464
YGR240C-A	201
YGR241C	2256
YGR243W	568
YGR244C	1408
YGR245C	2536
YGR246C	1912
YGR247W	872
YGR248W	840
YGR249W	2056
YGR250C	2648
YGR251W	1152
YGR252W	1520
YGR253C	912
YGR254W	1512
YGR255C	1631
tT(UGU)G2	72
YGR256W	1479
YGR257C	1288
YGR258C	3122
YGR260W	1712
YGR261C	2576
YGR262C	912
YGR263C	1336
YGR264C	2496
YGR266W	2320
YGR267C	1024
YGR268C	744
YGR270W	4656
YGR271W	6024
YGR271C-A	817
YGR273C	525
YGR274C	3304
YGR275W	608
YGR276C	1694
YGR277C	1032
YGR278W	1808
YGR279C	1592
YGR280C	1096
YGR281W	4872
YGR282C	1336
YGR283C	1058
YGR284C	1144
YGR285C	1376
YGR286C	1384
YGR287C	1899
YGR288W	1896
YGR289C	2166
YGR292W	1755
YGR294W	363
YGR295C	1146
YGR296W	5580
YHL050C	2094
YHL049C	816
YHL048C-A	135
YHL048W	1298
YHL047C	2817
YHL046C	363
YHL044W	960
YHL043W	513
YHL042W	1321
YHL040C	2440
YHL039W	1840
YHL038C	1944
YHL036W	1896
YHL035C	5032
YHL034C	1152
YHL033C	824
YHL032C	2288
YHL031C	784
YHL030W	5712
YHL029C	2136
YHL028W	2408
YHL027W	2200
YHL026C	1113
YHL025W	1152
YHL024W	2552
YHL023C	3494
tH(GUG)H	72
YHL022C	1197
YHL021C	1512
YHL020C	1320
YHL019C	1920
YHL018W	363
YHL017W	1599
YHL016C	3104
YHL015W-A	84
YHL015W	696
YHL014C	1225
YHL013C	1024
YHL012W	1591
YHL011C	1256
YHL010C	2016
YHL009C	1256
tV(AAC)H	74
YHL008C	2088
YHL007C	3280
YHL006C	560
YHL004W	1392
YHL003C	1640
YHL002W	1881
YHL001W	602
YHR001W	1496
YHR001W-A	617
YHR002W	1296
YHR003C	1320
YHR004C	1656
YHR005C	1552
YHR005C-A	552
tT(AGU)H	73
YHR006W	1760
YHR007C	2024
YHR007C-A	216
YHR008C	702
YHR009C	1944
YHR010W	583
YHR011W	1440
YHR012W	1193
YHR013C	913
YHR014W	876
tS(AGA)H	82
tQ(UUG)H	72
YHR015W	1980
YHR016C	1664
YHR017W	1232
YHR018C	1664
YHR019C	1800
YHR020W	2272
tA(AGC)H	73
YHR021C	418
YHR021W-A	1201
YHR022C	964
YHR022C-A	869
YHR023W	5952
YHR024C	1752
YHR025W	1168
YHR026W	984
YHR027C	3192
YHR028C	2592
YHR029C	992
YHR030C	1808
YHR031C	2344
YHR032W	1746
YHR033W	1592
YHR034C	1136
YHR035W	1912
YHR036W	1720
YHR037W	1928
YHR038W	768
YHR039C	2152
YHR039C-A	382
YHR040W	1184
YHR041C	851
YHR042W	2296
YHR043C	936
YHR044C	1256
YHR045W	2224
YHR046C	1208
YHR047C	2784
YHR048W	1880
YHR049W	888
YHR050W	1831
YHR050W-A	171
YHR051W	447
YHR052W	1248
RUF5-1	710
YHR053C	186
YHR054C	1065
RUF5-2	710
YHR055C	186
YHR056C	2693
YHR057C	760
YHR058C	1056
YHR059W	528
YHR060W	547
YHR061C	1328
YHR062C	1032
YHR063C	1272
YHR064C	1776
YHR065C	1672
YHR066W	1448
YHR067W	1160
YHR068W	1456
YHR069C	1296
YHR070W	1800
YHR071W	1072
tF(GAA)H1	73
YHR072W	2320
YHR072W-A	432
YHR073W	3256
YHR074W	2328
YHR075C	1261
YHR076W	1179
YHR077C	3439
YHR078W	2112
YHR079C	3816
YHR079C-A	276
YHR080C	4243
YHR081W	808
YHR082C	4344
YHR083W	1056
YHR084W	2560
YHR085W	1200
YHR086W	2104
YHR086W-A	162
YHR087W	584
YHR088W	1064
YHR089C	912
YHR090C	1120
YHR091C	2032
YHR092C	1863
YHR094C	2128
YHR096C	2304
YHR097C	1220
YHR098C	3008
YHR099W	11392
YHR100C	712
YHR101C	1121
YHR102W	3504
YHR103W	2872
YHR104W	1232
YHR105W	645
YHR106W	1029
YHR107C	1448
YHR108W	1912
YHR109W	1856
YHR110W	744
YHR111W	1344
YHR112C	1856
YHR113W	1584
YHR114W	2144
YHR115C	1504
YHR116W	456
YHR117W	1920
YHR118C	1392
YHR119W	3632
YHR120W	2904
YHR121W	736
YHR122W	880
YHR123W	1349
YHR124W	1910
tF(GAA)H2	73
YHR126C	480
YHR127W	960
YHR128W	920
YHR129C	1392
YHR131C	3097
YHR132C	1520
YHR132W-A	543
YHR133C	1264
YHR134W	1579
YHR135C	1824
YHR136C	513
YHR137W	1928
YHR138C	565
YHR139C	1760
YHR140W	732
snR32	188
YHR141C	471
YHR142W	1224
YHR143W	1664
YHR143W-A	512
YHR144C	1112
tP(UGG)H	72
YHR146W	1520
YHR147C	784
YHR148W	920
YHR149C	2472
YHR150W	2008
YHR151C	1984
YHR152W	720
YHR153C	632
YHR154W	3288
YHR155W	3912
YHR156C	1560
snR71	90
YHR157W	1067
YHR158C	3656
YHR159W	1976
YHR160C	877
YHR161C	2360
YHR162W	864
YHR163W	897
YHR164C	4680
YHR165C	7416
YHR166C	1992
YHR167W	936
YHR168W	1825
YHR169W	1488
YHR170W	1752
YHR171W	1899
YHR172W	2968
YHR174W	1464
YHR175W	570
YHR175W-A	150
YHR176W	1394
YHR177W	1768
YHR178W	2632
YHR179W	1400
tT(UGU)H	72
YHR181W	816
YHR182W	2396
YHR183W	1648
YHR184W	1877
YHR185C	714
tV(CAC)H	73
YHR186C	4754
YHR187W	1056
YHR188C	2008
YHR189W	800
YHR190W	1448
YHR191C	472
YHR192W	928
YHR193C	656
YHR194W	1872
YHR195W	1148
YHR196W	1912
YHR197W	2384
YHR198C	1120
YHR199C	933
YHR199C-A	222
YHR200W	904
YHR201C	1344
YHR202W	2000
YHR203C	1027
YHR204W	2624
YHR205W	3048
YHR206W	2432
YHR207C	1696
YHR208W	1344
YHR209W	1320
YHR210C	1280
YHR211W	5559
YHR212W-A	204
YHR213W	597
YHR213W-A	234
YHR213W-B	300
YHR214W	612
YHR214C-D	294
YHR214C-E	300
YHR215W	1410
YHR216W	1673
YHR218W	1812
YHR219W	1875
YJL225C	5277
YJL223C	363
YJL222W	4650
YJL221C	1770
YJL219W	1704
YJL218W	752
YJL217W	808
YJL216C	1785
YJL214W	2398
YJL213W	1632
YJL212C	2960
YJL210W	1144
YJL209W	2136
YJL208C	1248
YJL207C	6216
YJL206C	2448
YJL205C	321
YJL204C	2632
YJL203W	968
YJL201W	2048
YJL200C	2648
tT(AGU)J	73
YJL198W	2808
YJL197W	3831
YJL196C	1168
YJL194W	1896
YJL193W	1296
YJL192C	864
YJL191W	584
YJL190C	632
YJL189W	326
YJL187C	2866
YJL186W	1944
YJL185C	1104
YJL184W	584
YJL183W	1432
YJL181W	2040
YJL180C	1248
YJL179W	528
YJL178C	928
YJL177W	651
YJL176C	2568
YJL174W	1264
YJL173C	576
YJL172W	1792
YJL171C	1326
YJL170C	630
YJL168C	2560
YJL167W	1256
YJL166W	496
YJL165C	2832
YJL164C	1663
YJL163C	1751
YJL162C	2040
tE(UUC)J	72
YJL161W	752
YJL160C	1240
YJL159W	1654
YJL158C	1040
YJL157C	2493
YJL156C	2575
YJL155C	1744
YJL154C	3072
YJL153C	1988
YJL151C	456
YJL149W	2040
snR128	126
snR190	190
YJL148W	1024
YJL147C	1376
YJL146W	1736
YJL145W	1032
YJL144W	552
YJL143W	888
YJL141C	2736
YJL140W	856
YJL139C	1375
YJL138C	1512
YJL137C	1384
YJL136W-A	84
YJL136C	524
YJL134W	1392
YJL133C-A	424
YJL133W	1216
YJL132W	2360
YJL131C	1120
YJL130C	7360
YJL129C	4072
YJL128C	2520
YJL127C-B	528
YJL127C	2568
YJL126W	1024
YJL125C	1272
YJL124C	959
YJL123C	1544
YJL122W	688
YJL121C	840
YJL118W	848
YJL117W	1128
YJL116C	1560
YJL115W	1096
tA(AGC)J	73
tD(GUC)J1	72
YJL112W	2320
YJL111W	1912
YJL110C	1872
YJL109C	5424
YJL108C	1152
YJL107C	1228
YJL106W	2960
YJL105W	3125
YJL104W	720
snR37	386
YJL103C	2256
YJL102W	2520
tR(ACG)J	73
YJL101C	2464
YJL100W	2360
YJL099W	2616
YJL098W	3360
YJL097W	784
YJL096W	617
YJL095W	4600
YJL094C	2744
YJL093C	2211
YJL092W	3808
YJL091C	1888
YJL090C	2464
YJL089W	2952
YJL088W	1160
